count,3,2,1,0/00,0EL/00EL,Size 5 SG,Size 7.5 SG,Size 11.5 SG,Size 12.5 SG
30,1890,1890,1890,1890,1890,1890,1890,1890,1890
40,1890,1890,1890,1890,1890,1890,1890,1890,1890
50,1890,1890,1890,1890,1890,1890,1890,1890,1890
60,1890,1890,1890,1890,1890,1890,1890,1890,1890
75,1890,1890,1890,1858.06,1708.47,1890,1890,1737.93,1730.47
90,1890,1866.67,1731.96,1548.39,1423.73,1890,1890,1448.28,1442.06
100,1890,1680,1558.76,1393.55,1281.36,1890,1890,1303.45,1297.85
120,1575,1400,1298.97,1161.29,1067.8,1890,1615.38,1086.21,1081.55
150,1260,1120,1039.18,929.032,854.237,1533.08,1292.31,868.966,865.236
180,1050,933.333,865.979,774.194,711.864,1277.57,1076.92,724.138,721.03
200,945,840,779.381,696.774,640.678,1149.81,969.231,651.724,648.927
240,787.5,700,649.485,580.645,533.898,958.175,807.692,543.103,540.773
250,756,672,623.505,557.419,512.542,919.848,775.385,521.379,519.142
270,700,622.222,577.32,516.129,474.576,851.711,717.949,482.759,480.687
300,630,560,519.588,663.594,427.119,766.54,646.154,434.483,432.618
360,525,466.667,432.99,387.097,355.932,638.783,538.462,362.069,360.515
400,472.5,420,389.691,348.387,320.339,574.905,484.615,325.862,324.464
500,378,336,311.753,278.71,256.271,459.924,387.692,260.69,259.571
540,350,311.111,288.66,258.065,237.288,425.856,358.974,241.379,240.343
600,315,280,259.794,232.258,213.559,383.27,323.077,217.241,216.309
720,262.5,233.333,216.495,193.548,177.966,319.392,269.231,181.034,180.258
900,210,186.667,173.196,154.839,142.373,255.513,215.385,144.828,144.206
1000,189,168,155.876,139.355,128.136,229.962,193.846,130.345,129.785
1200,157.5,140,129.897,116.129,106.78,191.635,161.538,108.621,108.155
